Company Name,Ticker,Sustainalytics Score,Sustainalytics Class,Industry
American National Group,ANAT,26.7,Medium,Insurance
Amerisafe,AMSF,29.5,Medium,Insurance
Arch Capital Group,ACGL,21.1,Medium,Insurance
Brighthouse Financial,BHF,21.8,Medium,Insurance
BRP Group,BRP,32.2,High,Insurance
Cincinnati Financial Corp,CINF,24.3,Medium,Insurance
Clover Health Investments Corp,CLOV,35.9,High,Insurance
Donegal Group,DGICA,36.1,High,Insurance
eHealth Inc,EHTH,20.5,Medium,Insurance
Enstar Group,ESGR,33.7,High,Insurance
Erie Indemnity,ERIE,26.7,Medium,Insurance
Fanhua Inc,FANH,30.1,High,Insurance
GoHealth,GOCO,27.2,Medium,Insurance
Goosehead Insurance,GSHD,22.9,Medium,Insurance
Greenlight Capital Re,GLRE,39.2,High,Insurance
James River Group Holdings,JRVR,35.7,High,Insurance
Investors Title Co,ITIC,32.2,High,Insurance
Maiden Holdings,MHLD,37.2,High,Insurance
Metromile,MILE,36.9,High,Insurance
NI Holdings,NODK,35.9,High,Insurance
Palomar Holdings,PLMR,34.5,High,Insurance
Principal Financial Group,PFG,17,Low,Insurance
Safety Insurance Group,SAFT,35.5,High,Insurance
Selective Insurance Group,SIGI,29,Medium,Insurance
Tiptree,TIPT,36.3,High,Insurance
Trean Insurance Group,TIG,26.8,Medium,Insurance
United Fire Group,UFCS,35.5,High,Insurance
United Insurance Holdings,UIHC,35.7,High,Insurance
Willis Towers Watson,WTW,18.7,Low,Insurance
Baker Hughes,BKR,21.3,Medium,Energy Services
CSI Compressco LP,CCLP,39.3,High,Energy Services
HighPeak Energy,HPK,31,High,Energy Services
KLX Energy Services Holdings,KLXE,39.3,High,Energy Services
Matrix Service,MTRX,34,High,Energy Services
National Energy Services Reunited,NESR,29.2,Medium,Energy Services
Patterson-UTI Energy,PTEN,20.1,Medium,Energy Services
Weatherford International PLC,WFRD,29,Medium,Energy Services
Crocs Inc,CROX,17.1,Low,Textiles & Apparel
Fossil Group,FOSL,14.9,Low,Textiles & Apparel
G-III Apparel Group,GIII,19.3,Low,Textiles & Apparel
JOANN,JOAN,17.1,Low,Textiles & Apparel
Rocky Brands,RCKY,20.8,Medium,Textiles & Apparel
Steven Madden,SHOO,15.6,Low,Textiles & Apparel
Superior Group of Cos,SGC,16.5,Low,Textiles & Apparel
Vera Bradley,VRA,17.7,Low,Textiles & Apparel
Alliance Resource Partners,ARLP,45.8,Severe,Oil & Gas Producers
APA Corp,APA,45.8,Severe,Oil & Gas Producers
Centennial Resource Deevelopment,CDEV,52.3,Severe,Oil & Gas Producers
Chesapeake Energy Corp,CHK,42.5,Severe,Oil & Gas Producers
Diamondback Energy,FANG,45.8,Severe,Oil & Gas Producers
Falcon Minerals Group,FLMN,54.4,Severe,Oil & Gas Producers
Oasis Petroleum,OAS,43.8,Severe,Oil & Gas Producers
PDC Energy,PDCE,48.9,Severe,Oil & Gas Producers
Ranger Oil Corp,ROCC,55,Severe,Oil & Gas Producers
Viper Energy Partners LP,VNOM,19.2,Low,Oil & Gas Producers
Karat Packaging,KRT,22.3,Medium,Containers & Packaging
AAON Inc,AAON,26.4,Medium,Building Products
American Woodmark Corp,AMWD,29.9,Medium,Building Products
Apogee Enterprises,APOG,25.9,Medium,Building Products
Caesarstone,CSTE,24.7,Medium,Building Products
CSW Industrials,CSWI,26,Medium,Building Products
Gibraltar Indistries,ROCK,27.2,Medium,Building Products
Patrick Industries,PATK,30.4,High,Building Products
UFP Industries,UFPI,30.7,High,Building Products
Dorman Products,DORM,25.9,Medium,Auto Components
Fox Factory Holding,FOXF,26.4,Medium,Auto Components
Garrett Motion,GTX,19.9,Low,Auto Components
Gentex,GNTX,23.5,Medium,Auto Components
Gentherm,THRM,23.8,Medium,Auto Components
Goodyear Tire & Rubber,GT,18.6,Low,Auto Components
LiqTech International,LIQT,28.6,Medium,Auto Components
Luminar Technologies,LAZR,28.5,Medium,Auto Components
Motorcar parts of America,MPAA,30,High,Auto Components
The Shyft Group,SHYF,26,Medium,Auto Components
Visteon,VC,26,Medium,Auto Components
Workhorse Group,WKHS,29.6,Medium,Auto Components
XPEL,XPEL,27,Medium,Auto Components
Ferroglobe PLC,GSM,48.9,Severe,Diversified Metals
Advantage Solutions,ADV,17,Low,Media
AMC Networks,AMCX,22.8,Medium,Media
Beasley Broadcast Group,BEC,17.6,Low,Media
Chicken Soup for the Soul Entertainment,CSSE,16.3,Low,Media
Cumulus Media,CMLS,13.3,Low,Media
CuriosityStream,CURI,17.7,Low,Media
Daily Journal Corp,DJCO,16.6,Low,Media
Discovery Inc,DISCA,17.2,Low,Media
DISH Network Corp,DISH,21.7,Medium,Media
eXp World Holdings,EXPI,21.8,Medium,Media
Fox,FOXA,14,Low,Media
Genius Brands International,GNUS,15.2,Low,Media
Hall of Fame Resort and Entertainment,HOFV,16.8,Low,Media
Hemisphere Media Group,HMTV,21.2,Medium,Media
iCLick Interactive Asia group,ICLK,21.2,Medium,Media
iHeartMedia,IHRT,15.7,Low,Media
Lamar Advertising,LAMR,16.3,Low,Media
Liberty Broadband,LBRDK,22.3,Medium,Media
Liberty Latin America,LILAK,23.1,Medium,Media
Liberty Media,FWONA,17.3,Low,Media
National CineMedia,NCMI,18.1,Low,Media
Netflix,NFLX,15.8,Low,Media
News corp,NWSA,12.7,Low,Media
Nexstar Media group,NXST,18.4,Low,Media
Paramount Global,PARAA,16.3,Low,Media
Salem Media Group,SALM,19.2,Low,Media
Scholastic,SCHL,14.8,Low,Media
Sinclair Broadcast group,SBGI,20.1,Medium,Media
Sirius XM Holdings,SIRI,17.2,Low,Media
The E W Scripps CO,SSP,15.7,Low,Media
Thryv Holdings,THRY,13.2,Low,Media
Urban One,UONE,18.7,Low,Media
Warner Music Group,WMG,16.7,Low,Media
Reynolds Consumer Products,REYN,34.6,High,Household Products